from,to,pair,dep_animal_on_plant,dep_plant_on_animal,ASYMMETRY
Meligethes spp.,Ranunculus repens,Meligethes spp._Ranunculus repens,0.628,0.826,0.239
Meligethes spp.,Tanacetum vulgare,Meligethes spp._Tanacetum vulgare,0.137,0.843,0.837
Meligethes spp.,Tripleurospermum inodorum,Meligethes spp._Tripleurospermum inodorum,0.105,0.328,0.68
Meligethes spp.,Cirsium arvense,Meligethes spp._Cirsium arvense,0.05,0.3,0.835
Meligethes spp.,Senecio jacobaea,Meligethes spp._Senecio jacobaea,0.029,0.536,0.947
Meligethes spp.,Trifolium repens,Meligethes spp._Trifolium repens,0.022,0.048,0.537
Meligethes spp.,Chaerophyllum temulentum,Meligethes spp._Chaerophyllum temulentum,0.007,0.271,0.974
Meligethes spp.,Cirsium vulgare ,Meligethes spp._Cirsium vulgare ,0.007,0.518,0.986
Meligethes spp.,Achillea millefolium,Meligethes spp._Achillea millefolium,0.003,0.111,0.97
Meligethes spp.,Silene dioica,Meligethes spp._Silene dioica,0.003,0.012,0.732
Meligethes spp.,Verbascum thapsus,Meligethes spp._Verbascum thapsus,0.003,0.1,0.967
Meligethes spp.,Daucus carota,Meligethes spp._Daucus carota,0.002,0.353,0.995
Meligethes spp.,Lapsana communis,Meligethes spp._Lapsana communis,0.001,0.08,0.986
Meligethes spp.,Hypericum perforatum,Meligethes spp._Hypericum perforatum,0.001,1,0.999
Meligethes spp., Melilotus alba,Meligethes spp._ Melilotus alba,0.001,0.041,0.986
Meligethes spp.,Stachys sylvatica,Meligethes spp._Stachys sylvatica,0.001,0.143,0.996
Meligethes spp.,Aegopodium podagraria,Meligethes spp._Aegopodium podagraria,0,0.143,0.998
Meligethes spp.,Echium vulgare,Meligethes spp._Echium vulgare,0,0.095,0.998
Meliscaeva cintella,Trifolium repens,Meliscaeva cintella_Trifolium repens,0.792,0.048,0.94
Meliscaeva cintella,Tanacetum vulgare,Meliscaeva cintella_Tanacetum vulgare,0.089,0.015,0.829
Meliscaeva cintella,Prunella vulgaris,Meliscaeva cintella_Prunella vulgaris,0.079,0.286,0.723
Meliscaeva cintella,Lapsana communis,Meliscaeva cintella_Lapsana communis,0.04,0.08,0.505
Miarus campanulae Linnaeus,Tripleurospermum inodorum,Miarus campanulae Linnaeus_Tripleurospermum inodorum,1,0.009,0.991
Miccotrogus picirostris Fabricius,Ranunculus repens,Miccotrogus picirostris Fabricius_Ranunculus repens,1,0.022,0.978
Muscidae sp.,Cirsium arvense,Muscidae sp._Cirsium arvense,0.87,0.033,0.962
Muscidae sp.,Senecio jacobaea,Muscidae sp._Senecio jacobaea,0.087,0.01,0.881
Muscidae sp., Melilotus alba,Muscidae sp._ Melilotus alba,0.043,0.02,0.531
Nemophora degrella,Silene dioica,Nemophora degrella_Silene dioica,0.857,0.025,0.971
Nemophora degrella,Myosotis palustris,Nemophora degrella_Myosotis palustris,0.143,0.154,0.071
"Olibrus aeneus Fabricius, Phalacridae",Silene dioica,"Olibrus aeneus Fabricius, Phalacridae_Silene dioica",0.847,0.642,0.242
"Olibrus aeneus Fabricius, Phalacridae",Senecio jacobaea,"Olibrus aeneus Fabricius, Phalacridae_Senecio jacobaea",0.049,0.186,0.737
"Olibrus aeneus Fabricius, Phalacridae",Verbascum thapsus,"Olibrus aeneus Fabricius, Phalacridae_Verbascum thapsus",0.038,0.233,0.837
"Olibrus aeneus Fabricius, Phalacridae",Chamomilla recutita,"Olibrus aeneus Fabricius, Phalacridae_Chamomilla recutita",0.033,0.444,0.927
"Olibrus aeneus Fabricius, Phalacridae",Tripleurospermum inodorum,"Olibrus aeneus Fabricius, Phalacridae_Tripleurospermum inodorum",0.027,0.017,0.365
"Olibrus aeneus Fabricius, Phalacridae",Tanacetum vulgare,"Olibrus aeneus Fabricius, Phalacridae_Tanacetum vulgare",0.004,0.005,0.198
"Olibrus aeneus Fabricius, Phalacridae",Myosotis palustris,"Olibrus aeneus Fabricius, Phalacridae_Myosotis palustris",0.003,0.077,0.965
Opomyzidae sp.,Cirsium arvense,Opomyzidae sp._Cirsium arvense,0.476,0.033,0.93
Opomyzidae sp.,Silene dioica,Opomyzidae sp._Silene dioica,0.286,0.012,0.957
Opomyzidae sp.,Lapsana communis,Opomyzidae sp._Lapsana communis,0.095,0.08,0.16
Opomyzidae sp.,Verbascum thapsus,Opomyzidae sp._Verbascum thapsus,0.095,0.033,0.65
Opomyzidae sp.,Senecio jacobaea,Opomyzidae sp._Senecio jacobaea,0.048,0.01,0.784
Oulema melanopus (Linnaeus),Senecio jacobaea,Oulema melanopus (Linnaeus)_Senecio jacobaea,0.5,0.01,0.979
Oulema melanopus (Linnaeus),Vicia hirsuta,Oulema melanopus (Linnaeus)_Vicia hirsuta,0.5,0.077,0.846
Parasyrphus malinellus,Tanacetum vulgare,Parasyrphus malinellus_Tanacetum vulgare,1,0.005,0.995
Pieris napi,Senecio jacobaea,Pieris napi_Senecio jacobaea,0.583,0.072,0.876
Pieris napi,Tripleurospermum inodorum,Pieris napi_Tripleurospermum inodorum,0.417,0.009,0.979
"Polyommatus icarus, Lycaenidae",Trifolium repens,"Polyommatus icarus, Lycaenidae_Trifolium repens",0.842,0.143,0.83
"Polyommatus icarus, Lycaenidae",Tripleurospermum inodorum,"Polyommatus icarus, Lycaenidae_Tripleurospermum inodorum",0.105,0.026,0.754
"Polyommatus icarus, Lycaenidae",Tanacetum vulgare,"Polyommatus icarus, Lycaenidae_Tanacetum vulgare",0.032,0.015,0.518
"Polyommatus icarus, Lycaenidae",Achillea millefolium,"Polyommatus icarus, Lycaenidae_Achillea millefolium",0.007,0.019,0.621
"Polyommatus icarus, Lycaenidae", Melilotus alba,"Polyommatus icarus, Lycaenidae_ Melilotus alba",0.007,0.041,0.828
"Polyommatus icarus, Lycaenidae",Vicia hirsuta,"Polyommatus icarus, Lycaenidae_Vicia hirsuta",0.007,0.077,0.909
Psilidae sp.,Cirsium vulgare ,Psilidae sp._Cirsium vulgare ,1,0.012,0.988
Psithyrus campestris (Panzer),Senecio jacobaea,Psithyrus campestris (Panzer)_Senecio jacobaea,0.769,0.01,0.987
Psithyrus campestris (Panzer),Cirsium vulgare ,Psithyrus campestris (Panzer)_Cirsium vulgare ,0.231,0.012,0.948
Psithyrus rupestris (Fabricius),Cirsium vulgare ,Psithyrus rupestris (Fabricius)_Cirsium vulgare ,1,0.036,0.964
Ptychopteridae sp.,Vicia hirsuta,Ptychopteridae sp._Vicia hirsuta,1,0.077,0.923
Scatopsidae sp.,Chaerophyllum temulentum,Scatopsidae sp._Chaerophyllum temulentum,0.5,0.021,0.958
Scatopsidae sp.,Senecio jacobaea,Scatopsidae sp._Senecio jacobaea,0.5,0.01,0.979
Sciaridae sp.,Tripleurospermum inodorum,Sciaridae sp._Tripleurospermum inodorum,1,0.009,0.991
Sepsidae sp.,Tripleurospermum inodorum,Sepsidae sp._Tripleurospermum inodorum,0.714,0.026,0.964
Sepsidae sp.,Silene dioica,Sepsidae sp._Silene dioica,0.286,0.012,0.957
Simuliidae sp.,Aegopodium podagraria,Simuliidae sp._Aegopodium podagraria,1,0.143,0.857
Sitona lineatus Linnaeus, Melilotus alba,Sitona lineatus Linnaeus_ Melilotus alba,1,0.061,0.939
Sphaerophoria menthastri,Lapsana communis,Sphaerophoria menthastri_Lapsana communis,0.455,0.2,0.56
Sphaerophoria menthastri,Tripleurospermum inodorum,Sphaerophoria menthastri_Tripleurospermum inodorum,0.455,0.009,0.981
Sphaerophoria menthastri,Achillea millefolium,Sphaerophoria menthastri_Achillea millefolium,0.091,0.019,0.796
Sphaerophoria scripta,Tripleurospermum inodorum,Sphaerophoria scripta_Tripleurospermum inodorum,0.87,0.017,0.98
Sphaerophoria scripta,Tanacetum vulgare,Sphaerophoria scripta_Tanacetum vulgare,0.13,0.005,0.961
Sphaerophoria taemata,Trifolium repens,Sphaerophoria taemata_Trifolium repens,1,0.048,0.952
Strangalia maculata Poda,Tripleurospermum inodorum,Strangalia maculata Poda_Tripleurospermum inodorum,1,0.009,0.991
Stratiomyidae sp.,Tripleurospermum inodorum,Stratiomyidae sp._Tripleurospermum inodorum,0.439,0.009,0.98
Stratiomyidae sp.,Lapsana communis,Stratiomyidae sp._Lapsana communis,0.175,0.08,0.544
Stratiomyidae sp.,Verbascum thapsus,Stratiomyidae sp._Verbascum thapsus,0.175,0.033,0.81
Stratiomyidae sp.,Achillea millefolium,Stratiomyidae sp._Achillea millefolium,0.088,0.019,0.789
Stratiomyidae sp.,Chaerophyllum temulentum,Stratiomyidae sp._Chaerophyllum temulentum,0.088,0.021,0.763
Stratiomyidae sp.,Echium vulgare,Stratiomyidae sp._Echium vulgare,0.035,0.095,0.632
Strophosomus capitatus de Geer,Myosotis palustris,Strophosomus capitatus de Geer_Myosotis palustris,1,0.231,0.769
Syrphidae sp.,Achillea millefolium,Syrphidae sp._Achillea millefolium,1,0.13,0.87
Syrphus ribesii,Ranunculus repens,Syrphus ribesii_Ranunculus repens,0.882,0.022,0.975
Syrphus ribesii,Epilobium montanum,Syrphus ribesii_Epilobium montanum,0.074,0.056,0.244
Syrphus ribesii,Tanacetum vulgare,Syrphus ribesii_Tanacetum vulgare,0.044,0.005,0.885
Tachinidae sp.,Tripleurospermum inodorum,Tachinidae sp._Tripleurospermum inodorum,0.449,0.06,0.866
Tachinidae sp.,Cirsium arvense,Tachinidae sp._Cirsium arvense,0.385,0.1,0.74
Tachinidae sp.,Achillea millefolium,Tachinidae sp._Achillea millefolium,0.077,0.111,0.308
Tachinidae sp., Cerastium glomeratum,Tachinidae sp._ Cerastium glomeratum,0.064,1,0.936
Tachinidae sp., Melilotus alba,Tachinidae sp._ Melilotus alba,0.013,0.041,0.686
Tachinidae sp.,Geranium robertianum L.,Tachinidae sp._Geranium robertianum L.,0.006,1,0.994
Tachinidae sp.,Trifolium dubium,Tachinidae sp._Trifolium dubium,0.006,0.1,0.936
Tanypezidae sp.,Verbascum thapsus,Tanypezidae sp._Verbascum thapsus,0.46,0.067,0.855
